country,region,life_expectancy,wellbeing,happy_years,footprint,inequality_outcomes,adj_life_expectancy,adj_wellbeing,hpi_index,GDP,population
Afghanistan,Middle East and North Africa,59.67,3.80,12.40,0.79,0.43,38.35,3.39,20.23,690.84,29726803
Albania,Post-communist,77.35,5.50,34.41,2.21,0.17,69.67,5.10,36.77,4247.49,2900489
Algeria,Middle East and North Africa,74.31,5.60,30.47,2.12,0.24,60.47,5.20,33.30,5583.62,37439427
Argentina,Americas,75.93,6.50,40.17,3.14,0.16,68.35,6.03,35.19,14357.41,42095224
Armenia,Post-communist,74.45,4.30,24.02,2.23,0.22,66.92,3.75,25.67,3565.52,2978339
Australia,Asia Pacific,82.05,7.20,53.07,9.31,0.08,78.56,6.91,21.23,67646.10,22728254
Austria,Europe,81.00,7.40,54.44,6.06,0.07,78.02,7.14,30.48,48324.25,8429991
Bangladesh,Asia Pacific,70.84,4.70,23.29,0.72,0.27,56.62,4.27,38.39,858.93,155257387
Belarus,Post-communist,70.87,5.70,34.01,5.09,0.13,66.74,5.25,21.72,6721.83,9464000
Belgium,Europe,80.43,6.90,49.54,7.44,0.09,77.21,6.57,23.73,44731.22,11128246
Belize,Americas,69.80,6.14,34.18,2.55,0.18,61.67,5.70,33.84,4674.29,336707
Benin,Sub Saharan Africa,59.17,3.20,9.94,1.41,0.44,37.27,2.82,13.42,807.69,10049792
Bhutan,Asia Pacific,68.75,5.60,27.41,2.32,0.27,54.52,5.19,28.62,2452.15,743711
Bolivia,Americas,67.45,6.00,25.56,2.96,0.35,47.86,5.50,23.32,2645.29,10238762
Bosnia and Herzegovina,Post-communist,76.18,4.80,28.64,3.12,0.19,71.08,4.19,25.29,4494.64,3828419
Botswana,Sub Saharan Africa,64.25,4.80,21.28,3.83,0.28,50.80,4.35,16.61,6935.59,2132822
Brazil,Americas,73.91,6.90,38.96,3.11,0.22,63.27,6.32,34.34,12157.31,202401584
Bulgaria,Post-communist,73.91,4.20,23.98,3.32,0.19,68.14,3.68,20.44,7333.36,7305888
Burkina Faso,Sub Saharan Africa,57.96,4.00,12.58,1.21,0.43,36.46,3.61,17.89,673.03,16590813
Burundi,Sub Saharan Africa,55.80,3.43,9.49,0.80,0.48,33.01,3.03,15.58,244.20,10124572
Cambodia,Asia Pacific,67.47,3.90,18.21,1.21,0.28,54.16,3.52,25.65,946.48,14832255
Cameroon,Sub Saharan Africa,54.61,4.20,11.57,1.17,0.47,33.09,3.65,16.70,1222.19,21659488
Canada,Americas,81.65,7.40,53.86,8.17,0.09,77.79,7.08,23.94,52737.78,34751476
Chad,Sub Saharan Africa,50.81,4.00,9.58,1.46,0.51,27.32,3.67,12.78,972.68,12715465
Chile,Americas,81.05,6.60,44.66,4.36,0.14,74.92,6.12,31.67,15253.33,17388437
China,Asia Pacific,75.37,5.10,30.63,3.38,0.17,68.65,4.62,25.73,6264.64,1350695000
Colombia,Americas,73.67,6.40,35.07,1.87,0.24,63.10,5.72,40.70,7885.06,46881018
Comoros,Sub Saharan Africa,62.60,4.00,15.44,1.03,0.36,43.29,3.73,23.10,750.31,733661
Costa Rica,Americas,79.08,7.30,48.17,2.84,0.15,72.62,6.79,44.71,9733.40,4654148
Cote d'Ivoire,Sub Saharan Africa,50.83,3.82,10.27,1.27,0.45,30.64,3.51,14.44,1281.38,21102641
Croatia,Post-communist,76.96,6.00,39.58,3.92,0.12,73.47,5.55,30.16,13235.98,4267558
Cyprus,Europe,79.79,6.20,42.28,4.21,0.12,76.57,5.68,30.71,28868.27,1129303
Czech Republic,Post-communist,78.19,6.30,43.44,5.19,0.09,75.46,5.91,27.28,19640.93,10510785
Denmark,Europe,79.83,7.50,54.41,5.51,0.07,76.76,7.25,32.67,57636.13,5591572
Djibouti,Sub Saharan Africa,61.31,4.40,15.09,2.19,0.42,41.37,3.81,16.43,1586.78,853069
Dominican Republic,Americas,73.10,4.80,23.74,1.53,0.30,60.81,4.06,30.31,5967.00,10155036
Ecuador,Americas,75.45,6.00,34.35,2.17,0.22,64.09,5.52,37.04,5702.17,15419493
Egypt,Middle East and North Africa,70.74,4.20,21.80,2.15,0.23,61.26,3.72,23.78,3226.13,85660902
El Salvador,Americas,72.48,5.90,32.24,2.07,0.22,62.54,5.31,35.64,3921.72,6072233
Estonia,Post-communist,76.20,5.40,34.97,6.86,0.12,72.56,4.98,17.90,17490.99,1322696
Ethiopia,Sub Saharan Africa,62.82,4.60,17.82,1.02,0.36,43.77,4.23,26.66,469.79,92191211
Finland,Europe,80.42,7.40,54.59,5.87,0.06,77.65,7.19,31.29,47415.56,5413971
France,Europe,81.77,6.60,48.13,5.14,0.09,78.46,6.29,30.41,40850.35,65639975
Gabon,Sub Saharan Africa,63.34,4.00,15.43,2.02,0.36,45.84,3.53,17.50,10642.43,1613489
Georgia,Post-communist,74.56,4.30,24.69,1.58,0.20,66.89,3.85,31.08,4142.87,3825000
Germany,Europe,80.57,6.70,48.23,5.30,0.08,77.61,6.37,29.82,44010.93,80425823
Ghana,Sub Saharan Africa,61.01,5.10,18.76,1.97,0.38,42.24,4.60,21.43,1641.83,25544565
Greece,Europe,80.51,5.10,33.32,4.38,0.16,77.57,4.45,23.62,22242.68,11045011
Guatemala,Americas,71.36,5.90,29.59,1.89,0.27,59.24,5.15,34.24,3278.63,15368759
Guinea,Sub Saharan Africa,57.66,3.70,11.81,1.41,0.42,37.23,3.33,15.85,487.35,11628767
Haiti,Americas,62.08,4.40,16.53,0.61,0.37,42.91,4.01,28.57,766.87,10288828
Honduras,Americas,72.76,4.60,22.13,1.68,0.31,58.50,3.94,27.16,2395.07,7736131
Hong Kong,Asia Pacific,83.57,5.50,40.11,8.82,0.10,81.26,5.09,16.80,36707.77,7154600
Hungary,Post-communist,74.86,4.70,28.73,2.92,0.15,70.95,4.21,26.38,12819.71,9920362
Iceland,Europe,82.20,7.60,58.03,6.43,0.05,79.82,7.43,31.08,44258.84,320716
India,Asia Pacific,67.27,4.60,20.45,1.16,0.31,51.13,4.16,29.18,1449.66,1263589639
Indonesia,Asia Pacific,68.51,5.40,28.44,1.58,0.21,57.18,5.13,35.72,3700.52,248037853
Iran,Middle East and North Africa,74.78,4.60,25.40,2.79,0.23,66.88,3.96,23.99,7710.51,76156975
Iraq,Middle East and North Africa,68.96,4.70,22.78,1.88,0.27,55.63,4.25,26.52,6649.25,32780975
Ireland,Europe,80.52,7.00,50.35,5.57,0.08,77.53,6.65,30.02,48976.93,4586897
