Request.id	Pickup.point	Driver.id	Status	Request.timestamp	Drop.timestamp	Request_dt	Drop_dt	Request_date	Request_hour	Drop_date	Drop_hour	time_slot
619	Airport	1	Trip Completed	11-07-2016 11:51	11-07-2016 13:00	11-07-2016 11:51	11-07-2016 13:00	11-07-2016	11	11-07-2016	13	Afternoon
867	Airport	1	Trip Completed	11-07-2016 17:57	11-07-2016 18:47	11-07-2016 17:57	11-07-2016 18:47	11-07-2016	17	11-07-2016	18	Evening
1807	City	1	Trip Completed	12-07-2016 09:17	12-07-2016 09:58	12-07-2016 09:17	12-07-2016 09:58	12-07-2016	9	12-07-2016	9	Morning
2532	Airport	1	Trip Completed	12-07-2016 21:08	12-07-2016 22:03	12-07-2016 21:08	12-07-2016 22:03	12-07-2016	21	12-07-2016	22	Late_Night
3112	City	1	Trip Completed	13-07-2016 08:33	13-07-2016 09:25	13-07-2016 08:33	13-07-2016 09:25	13-07-2016	8	13-07-2016	9	Morning
3879	Airport	1	Trip Completed	13-07-2016 21:57	13-07-2016 22:28	13-07-2016 21:57	13-07-2016 22:28	13-07-2016	21	13-07-2016	22	Late_Night
4270	Airport	1	Trip Completed	14-07-2016 06:15	14-07-2016 07:13	14-07-2016 06:15	14-07-2016 07:13	14-07-2016	6	14-07-2016	7	Morning
5510	Airport	1	Trip Completed	15-07-2016 05:11	15-07-2016 06:07	15-07-2016 05:11	15-07-2016 06:07	15-07-2016	5	15-07-2016	6	Morning
6248	City	1	Trip Completed	15-07-2016 17:57	15-07-2016 18:50	15-07-2016 17:57	15-07-2016 18:50	15-07-2016	17	15-07-2016	18	Evening
267	City	2	Trip Completed	11-07-2016 06:46	11-07-2016 07:25	11-07-2016 06:46	11-07-2016 07:25	11-07-2016	6	11-07-2016	7	Morning
1467	Airport	2	Trip Completed	12-07-2016 05:08	12-07-2016 06:02	12-07-2016 05:08	12-07-2016 06:02	12-07-2016	5	12-07-2016	6	Morning
1983	City	2	Trip Completed	12-07-2016 12:30	12-07-2016 12:57	12-07-2016 12:30	12-07-2016 12:57	12-07-2016	12	12-07-2016	12	Afternoon
2784	Airport	2	Trip Completed	13-07-2016 04:49	13-07-2016 05:23	13-07-2016 04:49	13-07-2016 05:23	13-07-2016	4	13-07-2016	5	Early_Morning
